DateTime,Entries,UniqueIPs
1587775514,3279,3279
1587777316,3082,3082
1587779116,2785,2785
1587780914,2704,2704
1587782716,2531,2531
1587784516,1875,1875
1587786315,2381,2381
1587788115,2320,2320
1587789915,2652,2652
1587791714,2825,2825
1587793514,3236,3236
1587795313,3780,3780
1587797114,5029,5029
1587798912,5160,5160
1587800712,5624,5624
1587802511,6042,6042
1587804311,6498,6498
1587806111,6932,6932
1587807911,6924,6924
1587809710,6972,6972
1587811510,7356,7356
1587813311,7773,7773
1587815110,7889,7889
1587816911,7258,7258
1587818709,6167,6167
1587820509,5014,5014
1587822309,3557,3557
1587824110,1559,1559
1587825910,1278,1278
1587827711,1280,1280
1587829510,603,603
1587831310,658,658
1587833110,733,733
1587834909,837,837
1587836710,785,785
1587838512,764,764
1587840311,681,681
1587842112,972,972
1587843912,1030,1030
1587845711,1121,1121
1587847511,1195,1195
1587849311,1286,1286
1587851111,1407,1407
1587852912,1524,1524
1587854712,1626,1626
1587856512,1769,1769
1587858311,1920,1920
1587860112,2010,2010
1587861912,1449,1449
1587863713,1078,1078
1587865513,766,766
1587867313,695,695
1587869112,786,786
1587870911,727,727
1587872712,589,589
1587874511,538,538
1587876313,445,445
1587878111,604,604
1587879911,747,747
1587881712,910,910
1587883513,1050,1050
1587885312,1254,1254
1587887110,1455,1455
1587888912,1494,1494
1587890712,1630,1630
1587892510,1765,1765
1587894311,1813,1813
1587896111,1655,1655
1587897911,1520,1520
1587899712,1590,1590
1587901511,1606,1606
1587903312,1561,1561
1587905111,1463,1463
1587906912,796,796
1587908712,251,251
1587910512,340,340
1587912313,482,482
1587914113,585,585
1587915911,686,686
1587917712,728,728
1587919512,832,832
1587921311,922,922
1587923112,1033,1033
1587924912,1146,1146
1587926712,1136,1136
1587928510,1239,1239
1587930310,1352,1352
1587932108,1842,1842
1587933911,2303,2303
1587935710,2836,2836
1587937510,3021,3021
1587939310,3126,3126
1587941110,3549,3549
1587942911,4113,4113
1587944709,4320,4320
1587946509,4638,4638
1587948310,5065,5065
1587950109,5163,5163
1587951909,5250,5250
1587953706,5358,5358
1587955509,5232,5232
1587957309,221,221
1587959111,236,236
1587960912,422,422
1587962712,442,442
1587964512,241,241
1587966315,285,285
1587968116,252,252
1587969916,221,221
1587971718,194,194
1587973520,336,336
1587975322,595,595
1587977122,401,401
1587978925,632,632
1587980721,666,666
1587982526,582,582
1587984329,608,608
1587986136,1510,1510
1587987941,4763,4763
1587989745,2458,2458
1587991545,1485,1485
1587993350,1349,1349
1587995151,2018,2018
1587996947,2706,2706
1587998743,3059,3059
1588000538,2718,2718
1588002338,2440,2440
1588004147,2301,2301
1588005939,2577,2577
1588007737,2377,2377
1588009551,2240,2240
1588011336,1946,1946
1588013145,1955,1955
1588014938,2142,2142
1588016737,2427,2427
1588018531,3105,3105
1588020338,3401,3401
1588022130,3255,3255
1588023930,2212,2212
1588025735,2293,2293
1588027529,2382,2382
1588029329,2705,2705
1588031126,3636,3636
1588032922,4955,4955
1588034721,5720,5720
1588036516,6431,6431
1588038314,6451,6451
1588040115,6206,6206
1588041917,4411,4411
1588043717,3084,3084
1588045515,3547,3547
1588047316,4036,4036
1588049114,4321,4321
1588050915,3741,3741
1588052714,3895,3895
1588054516,2587,2587
1588056314,2881,2881
1588058114,3321,3321
1588059913,3442,3442
1588061714,3286,3286
1588063514,3280,3280
1588065312,3225,3225
1588067113,3222,3222
1588068912,3252,3252
1588070712,3433,3433
1588072512,3504,3504
1588074311,3368,3368
1588076113,3259,3259
1588077911,3087,3087
1588079712,2898,2898
1588081511,2790,2790
1588083311,2622,2622
1588085111,2707,2707
1588086911,2494,2494
1588088710,2450,2450
1588090510,2229,2229
1588092309,2141,2141
1588094110,2115,2115
1588095909,2111,2111
1588097709,2117,2117
1588099509,2084,2084
1588101307,2049,2049
1588103107,2156,2156
1588104907,2296,2296
1588106707,2531,2531
1588108508,2687,2687
1588110307,2569,2569
1588112108,2703,2703
1588113908,2935,2935
1588115708,3007,3007
1588117509,3039,3039
1588119308,2704,2704
1588121107,2719,2719
1588122908,2835,2835
1588124707,2874,2874
1588126508,2926,2926
1588128307,3002,3002
1588130106,3071,3071
1588131906,3130,3130
1588133706,3196,3196
1588135508,3274,3274
1588137304,3344,3344
1588139106,3405,3405
1588140905,3482,3482
1588142705,3539,3539
1588144504,3594,3594
1588146304,3682,3682
1588148104,3789,3789
1588149904,3862,3862
1588151704,3828,3828
1588153503,3691,3691
1588155303,3554,3554
1588157103,3205,3205
1588158903,3035,3035
1588160703,2949,2949
1588162501,2873,2873
1588164301,2794,2794
1588166101,2531,2531
1588167902,2562,2562
1588169702,2657,2657
1588171501,2697,2697
1588173301,2719,2719
1588175101,2740,2740
1588176901,2738,2738
1588178702,2772,2772
1588180501,2703,2703
1588182302,2646,2646
1588184102,2706,2706
1588185901,2792,2792
1588187702,2879,2879
1588189502,2969,2969
1588191301,2989,2989
1588193101,3026,3026
1588194902,3034,3034
1588196701,3175,3175
1588198502,3172,3172
1588200302,3147,3147
1588202101,3813,3813
1588203902,4083,4083
1588205702,4194,4194
1588207502,4314,4314
1588209302,4485,4485
1588211103,4685,4685
1588212903,4747,4747
